"code" "market"
"1" "000001" "000001.sz"
"2" "000002" "000002.sz"
"3" "000004" "000004.sz"
"4" "000005" "000005.sz"
"5" "000006" "000006.sz"
"6" "000007" "000007.sz"
"7" "000008" "000008.sz"
"8" "000009" "000009.sz"
"9" "000010" "000010.sz"
"10" "000011" "000011.sz"
"11" "000012" "000012.sz"
"12" "000014" "000014.sz"
"13" "000016" "000016.sz"
"14" "000017" "000017.sz"
"15" "000018" "000018.sz"
"16" "000019" "000019.sz"
"17" "000020" "000020.sz"
"18" "000021" "000021.sz"
"19" "000022" "000022.sz"
"20" "000023" "000023.sz"
"21" "000024" "000024.sz"
"22" "000025" "000025.sz"
"23" "000026" "000026.sz"
"24" "000027" "000027.sz"
"25" "000028" "000028.sz"
"26" "000029" "000029.sz"
"27" "000030" "000030.sz"
"28" "000031" "000031.sz"
"29" "000032" "000032.sz"
"30" "000034" "000034.sz"
"31" "000035" "000035.sz"
"32" "000036" "000036.sz"
"33" "000037" "000037.sz"
"34" "000038" "000038.sz"
"35" "000039" "000039.sz"
"36" "000040" "000040.sz"
"37" "000042" "000042.sz"
"38" "000043" "000043.sz"
"39" "000045" "000045.sz"
"40" "000046" "000046.sz"
"41" "000048" "000048.sz"
"42" "000049" "000049.sz"
"43" "000050" "000050.sz"
"44" "000055" "000055.sz"
"45" "000056" "000056.sz"
"46" "000058" "000058.sz"
"47" "000059" "000059.sz"
"48" "000060" "000060.sz"
"49" "000061" "000061.sz"
"50" "000062" "000062.sz"
"51" "000063" "000063.sz"
"52" "000065" "000065.sz"
"53" "000066" "000066.sz"
"54" "000068" "000068.sz"
"55" "000069" "000069.sz"
"56" "000070" "000070.sz"
"57" "000078" "000078.sz"
"58" "000088" "000088.sz"
"59" "000089" "000089.sz"
"60" "000090" "000090.sz"
"61" "000096" "000096.sz"
"62" "000099" "000099.sz"
"63" "000100" "000100.sz"
"64" "000150" "000150.sz"
"65" "000151" "000151.sz"
"66" "000153" "000153.sz"
"67" "000155" "000155.sz"
"68" "000156" "000156.sz"
"69" "000157" "000157.sz"
"70" "000158" "000158.sz"
"71" "000159" "000159.sz"
"72" "000301" "000301.sz"
"73" "000333" "000333.sz"
"74" "000338" "000338.sz"
"75" "000400" "000400.sz"
